Day,Post date,Image file,Word,Pronunciation,Meaning,Caption,Hashtags
1,Sep 1,sep01_kɔ.png,Kɔ,/ kaw /,To go,"Kɔ / kaw / — To go.

The most-used verb in Twi. 'Yɛnkɔ!' — let's go!

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
2,Sep 2,sep02_bra.png,Bra,/ brah /,To come,"Bra / brah / — To come.

'Bra ha' — come here. The gentle opposite of kɔ.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
3,Sep 3,sep03_nana_barima.png,Nana barima,/ NAH-nah bah-REE-mah /,Grandfather,"Nana barima / NAH-nah bah-REE-mah / — Grandfather.

The keeper of stories. Sit with your nana barima and listen.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
4,Sep 4,sep04_nana_baa.png,Nana baa,/ NAH-nah BAH /,Grandmother,"Nana baa / NAH-nah BAH / — Grandmother.

Wisdom, warmth, the best cooking. Honour your nana baa.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
5,Sep 5,sep05_wɔfa.png,Wɔfa,/ WAW-fah /,Uncle (mother's brother),"Wɔfa / WAW-fah / — Uncle (mother's brother).

In Akan culture your wɔfa holds a special role — family is matrilineal.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
6,Sep 6,sep06_sewaa.png,Sewaa,/ seh-WAH /,Aunt,"Sewaa / seh-WAH / — Aunt.

Your father's sister, a second mother. Call your sewaa today.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
7,Sep 7,sep07_bankye.png,Bankye,/ BAN-cheh /,Cassava,"Bankye / BAN-cheh / — Cassava.

'ky' = 'ch'. Fufu, gari, konkonte — it all starts with bankye.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood
8,Sep 8,sep08_borɔdeɛ.png,Borɔdeɛ,/ bo-raw-DEH /,Plantain,"Borɔdeɛ / bo-raw-DEH / — Plantain.

Fried, boiled, or roasted as kelewele. Sweet borɔdeɛ.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood #Kelewele
9,Sep 9,sep09_nkwan.png,Nkwan,/ n-KWAN /,Soup,"Nkwan / n-KWAN / — Soup.

Light soup, groundnut, palm nut — nkwan is love in a bowl.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood
10,Sep 10,sep10_kwadu.png,Kwadu,/ KWAH-doo /,Banana,"Kwadu / KWAH-doo / — Banana.

Simple and sweet. 'Mepɛ kwadu' — I'd like a banana.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood
