unit_id,unit_title,type,twi,english,pron_hint,VERIFIED (Y/N),corrected_twi,corrected_english,notes
unit_029,Food & Ingredients,headword,nnuane,foods — staples and ingredients you’ll meet every day.,nnuane,,,,
unit_029,Food & Ingredients,example,"ɛmo, bankye, borɔdeɛ.",,"ehmo, banche, borawdeeh.",,,,
unit_029,Food & Ingredients,glossary,ɛmo,rice,ehmo,,,,
unit_029,Food & Ingredients,glossary,bankye,cassava,banche,,,,
unit_029,Food & Ingredients,glossary,borɔdeɛ,plantain,borawdeeh,,,,
unit_029,Food & Ingredients,glossary,nkwan,soup / stew,nkwan,,,,
unit_029,Food & Ingredients,glossary,mako,pepper,mako,,,,
unit_029,Food & Ingredients,glossary,nkateɛ,groundnut,nkateeh,,,,
unit_029,Food & Ingredients,audio_override,Mepɛ nkateɛ.,(spoken for 'nkateɛ'),Mepeh nkateeh.,,,,
unit_029,Food & Ingredients,glossary,kwadu,banana,kwadu,,,,
unit_029,Food & Ingredients,glossary,nam,meat,nam,,,,
unit_029,Food & Ingredients,glossary,nkyene,salt,nchene,,,,
unit_029,Food & Ingredients,glossary,aburoo,maize / corn,aburoo,,,,
unit_030,Drinks,headword,nsã,"drinks — what to sip, hot or cold.",nsã,,,,
unit_030,Drinks,example,"nsuo, nufusuo, asikyire.",,"nsuo, nufusuo, asichire.",,,,
unit_030,Drinks,glossary,nsuo,water,nsuo,,,,
unit_030,Drinks,glossary,nufusuo,milk,nufusuo,,,,
unit_030,Drinks,glossary,asikyire,sugar,asichire,,,,
unit_030,Drinks,glossary,tii,tea,tii,,,,
unit_030,Drinks,glossary,kɔfe,coffee,kawfe,,,,
unit_030,Drinks,glossary,nsã,palm wine / liquor,nsã,,,,
unit_030,Drinks,glossary,nom,to drink,nom,,,,
unit_030,Drinks,glossary,nsãnom,a drink / beverage,nsãnom,,,,
unit_030,Drinks,glossary,nwunu,cold,nwunu,,,,
unit_030,Drinks,glossary,hye,hot,she,,,,
unit_031,Cooking,headword,noa,"cooking — the fire, pot, and staples of the kitchen.",noa,,,,
unit_031,Cooking,example,"noa, ogya, dadesɛn.",,"noa, oja, dadesehn.",,,,
unit_031,Cooking,glossary,noa,to cook,noa,,,,
unit_031,Cooking,glossary,ogya,fire,oja,,,,
unit_031,Cooking,glossary,dadesɛn,cooking pot,dadesehn,,,,
unit_031,Cooking,glossary,ngo,cooking oil,ngo,,,,
unit_031,Cooking,glossary,nkyene,salt,nchene,,,,
unit_031,Cooking,glossary,mako,pepper,mako,,,,
unit_031,Cooking,glossary,nkwan,soup,nkwan,,,,
unit_031,Cooking,glossary,aburoo,maize,aburoo,,,,
unit_031,Cooking,glossary,esiam,flour,esiam,,,,
unit_031,Cooking,glossary,yam,to grind,yam,,,,
unit_032,At the Market,headword,gua,"the market — buying, selling, and bargaining.",gua,,,,
unit_032,At the Market,example,"gua, tɔn, tɔ.",,"gua, tawn, taw.",,,,
unit_032,At the Market,glossary,gua,market,gua,,,,
unit_032,At the Market,glossary,tɔn,to sell,tawn,,,,
unit_032,At the Market,glossary,tɔ,to buy,taw,,,,
unit_032,At the Market,glossary,boɔ,price,boaw,,,,
unit_032,At the Market,glossary,sika,money,sika,,,,
unit_032,At the Market,glossary,adetɔnfoɔ,trader / seller,adetawnfoaw,,,,
unit_032,At the Market,glossary,kɛntɛn,basket,kehntehn,,,,
unit_032,At the Market,glossary,adwadie,trade / business,ajwadie,,,,
unit_032,At the Market,glossary,te so,reduce the price,te so,,,,
unit_032,At the Market,glossary,ɛyɛ sɛn,how much is it?,ehyeh sehn,,,,
unit_033,Shopping,headword,sotɔ,"shopping — the shop, goods, and choosing.",sotaw,,,,
unit_033,Shopping,example,"sotɔ, tɔ, boɔ.",,"sotaw, taw, boaw.",,,,
unit_033,Shopping,glossary,sotɔ,shop / store,sotaw,,,,
unit_033,Shopping,glossary,tɔ,to buy,taw,,,,
unit_033,Shopping,glossary,boɔ,price,boaw,,,,
unit_033,Shopping,glossary,sika,money,sika,,,,
unit_033,Shopping,glossary,ɛyɛ sɛn,how much is it?,ehyeh sehn,,,,
unit_033,Shopping,glossary,nneɛma,goods / things,nneehma,,,,
unit_033,Shopping,glossary,foforɔ,new,foforaw,,,,
unit_033,Shopping,glossary,dada,old,dada,,,,
unit_033,Shopping,glossary,pii,plenty / many,pii,,,,
unit_033,Shopping,glossary,kakra,a little,kakra,,,,
unit_034,Money & Prices,headword,sika,"money — cedis, pesewas, and paying.",sika,,,,
unit_034,Money & Prices,example,"sika, sidi, pesewa.",,"sika, sidi, pesewa.",,,,
unit_034,Money & Prices,glossary,sika,money,sika,,,,
unit_034,Money & Prices,glossary,sidi,cedi,sidi,,,,
unit_034,Money & Prices,glossary,pesewa,pesewa,pesewa,,,,
unit_034,Money & Prices,glossary,boɔ,price,boaw,,,,
unit_034,Money & Prices,glossary,tua,to pay,tua,,,,
unit_034,Money & Prices,glossary,ka,debt / bill,ka,,,,
unit_034,Money & Prices,glossary,kakra,a little,kakra,,,,
unit_034,Money & Prices,glossary,pii,plenty,pii,,,,
unit_034,Money & Prices,glossary,te so,reduce,te so,,,,
unit_034,Money & Prices,glossary,ɛyɛ sɛn,how much is it?,ehyeh sehn,,,,
unit_035,Clothing,headword,ntoma,"clothing — cloth, dress, and what to wear.",ntoma,,,,
unit_035,Clothing,example,"ntoma, atadeɛ, mpaboa.",,"ntoma, atadeeh, mpaboa.",,,,
unit_035,Clothing,glossary,ntoma,cloth,ntoma,,,,
unit_035,Clothing,glossary,atadeɛ,clothes / dress,atadeeh,,,,
unit_035,Clothing,glossary,mpaboa,footwear,mpaboa,,,,
unit_035,Clothing,glossary,ekyɛ,hat / cap,echeh,,,,
unit_035,Clothing,glossary,kente,kente cloth,kente,,,,
unit_035,Clothing,glossary,batakari,smock,batakari,,,,
unit_035,Clothing,glossary,kaba,kaba (blouse),kaba,,,,
unit_035,Clothing,glossary,hyɛ,to wear,sheh,,,,
unit_035,Clothing,glossary,fitaa,white,fitaa,,,,
