Day,Post date,Image file,Word,Pronunciation,Meaning,Caption,Hashtags
1,Aug 1,aug01_ɛna.png,Ɛna,/ EH-nah /,Mother,"Ɛna / EH-nah / — Mother.

The heart of the Akan home. Call your ɛna today.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Mothers #Family
2,Aug 2,aug02_agya.png,Agya,/ ah-JAH /,Father,"Agya / ah-JAH / — Father.

'gy' sounds like 'j'. Agya — father — strong and simple.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Fathers #Family
3,Aug 3,aug03_onua.png,Onua,/ oh-NOO-ah /,Sibling,"Onua / oh-NOO-ah / — Sibling.

Brother or sister, your onua. Family beyond blood.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
4,Aug 4,aug04_nana.png,Nana,/ NAH-nah /,Elder / grandparent,"Nana / NAH-nah / — Elder / grandparent.

A title of deep respect: grandparent, elder, even chief.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
5,Aug 5,aug05_medɔ_wo.png,Medɔ wo,/ meh-DAW wo /,I love you,"Medɔ wo / meh-DAW wo / — I love you.

Three words, whole heart. Send 'Medɔ wo' to someone today.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Love #Iloveyou
6,Aug 6,aug06_fɛ.png,Fɛ,/ feh /,Beautiful,"Fɛ / feh / — Beautiful.

Short and sweet. 'Ɔyɛ fɛ' — she is beautiful.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
7,Aug 7,aug07_ahosɛpɛ.png,Ahosɛpɛ,/ ah-hoh-SEH-peh /,Joy / enjoyment,"Ahosɛpɛ / ah-hoh-SEH-peh / — Joy / enjoyment.

Pure enjoyment. Let learning Twi bring you ahosɛpɛ.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
8,Aug 8,aug08_ahotɔ.png,Ahotɔ,/ ah-HOH-taw /,Peace / calm,"Ahotɔ / ah-HOH-taw / — Peace / calm.

Inner calm. After a long day, find your ahotɔ.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
9,Aug 9,aug09_nokorɛ.png,Nokorɛ,/ no-koh-REH /,Truth,"Nokorɛ / no-koh-REH / — Truth.

What friendship stands on. Always speak nokorɛ.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
10,Aug 10,aug10_hyia.png,Hyia,/ SHEE-ah /,To meet,"Hyia / SHEE-ah / — To meet.

'hy' = 'sh'. Every hyia — meeting — is a small blessing.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
